District,villageName,taluka,institutionType,organisationName,solarDemand
Sangli,Madgyal,Jat,Veterinary Hospital,Veterinary Dispensary Grade 1 Madgyal,4kW
Sangli,Bhavaninagar ,Walwa,Veterinary Hospital,Veterinary Dispensary Grade 1 Bhawaninagar,10kW
Sangli,Avandhi ,Jat,Veterinary Hospital,Veterinary Dispensary,3kW
Sangli,Rile,Shirala,Veterinary Hospital,Veterinary Dispensary Grade-2 Riley,3kW
Sangli,Dafalapur,Jat,Veterinary Hospital,Veterinary Dispensary Grade-2 Daflapur,5kW
Sangli,Sankh,Jat,Veterinary Hospital,Veterinary Dispensary No.,4kW
Sangli,Gatadwadi ,Walwa,Veterinary Hospital,Veterinary Dispensary Grade 1 Gatadwadi,2kW
Sangli,Shigaon,Walwa,Veterinary Hospital,Veterinary Hospital Shigaon,2kW
Sangli,Kotij ,Kadegaon,Veterinary Hospital,Veterinary Hospital range -1 kotij,2kW
Sangli,Itavade Budruk,Walwa,Veterinary Hospital,Veterinary Hospital Shre 1 Aitawde Budruk ,2kW
Sangli,Kadegaon ,Kadegaon,Veterinary Hospital,Veterinary Dispensary Grade 1 Kadegaon ,2kW
Sangli,Rethareharnaksha,Walwa,Veterinary Hospital,Veterinary Hospital Rathre Harnaksh.,10kW+
Sangli,Tondoli,Kadegaon,Veterinary Hospital,"Veterinary Climate Category 1, Tondali ",2kW
Sangli,Ankle ,Jat,Veterinary Hospital,Veterrinary dispensary ankle grade 2,5kW
Sangli,Chinchani(A),Kadegaon,Veterinary Hospital,"Veterinary Hospital Category 1, Chinchani (O)",2kW
Sangli,Sonsal,Kadegaon,Veterinary Hospital,"Veterinary Hospital Category 1, Sonsal",1kW
Sangli,Muchandi ,Jat,Veterinary Hospital,Muchandi,7kW
Sangli,Bilur,Jat,Veterinary Hospital,Bilur  ,10kW
Sangli,Kotij ,Kadegaon,Veterinary Hospital,Veterinary Hospital Category -1 Kotij ,2kW
Sangli,Kotij ,Kadegaon,Veterinary Hospital,Veterinary Hospital Category -1 Kotij ,2kW
Sangli,Shalgaon,Kadegaon,Veterinary Hospital,Veterinary dispensary grade 1 ,2kW
Sangli,Nevari,Kadegaon,Veterinary Hospital,Veterinary Hospital Category 2 Nevri ,2kW
Sangli,Nevari,Kadegaon,Veterinary Hospital,Veterinary Hospital Category 2 Nevri,2kW
Sangli,Devrashtre ,Kadegaon,Veterinary Hospital,Veterinary Hospital grade 1 Devrashtre ,2kW
Sangli,Islampur ,Walwa,Primary Health Center,UPHC ISLAMPUR ,3kW
Sangli,Wangi ,Kadegaon,Veterinary Hospital,Veterinary dispensary grade 1 wangi ,2kW
Sangli,Hingangaon bk ,Kadegaon,Primary Health Center,PHC Hingangaon bk ,7kW
Sangli,Sankh,Jat,Primary Health Center,"Primary Health Temple, Sankh",10kW+
Sangli,Shegaon ,Jat,Veterinary Hospital,Veterinary Hospital Category Two Shegaon,10kW+
Sangli,Arag,Miraj,Primary Health Center,Ayushman Health Temple Arag,10kW+
Sangli,Shegaon ,Jat,Primary Health Center,Primary Health Center Shegaon ,10kW+
Sangli,Amrapur,Kadegaon,Health Subcenter,Ayushman Health Temple sub -station Amarapur.,10kW+
Sangli,Erandoli ,Miraj,Primary Health Center,Ayushyamman arogya mandir ,5kW
Sangli,Kargani ,Atpadi,Health Subcenter,"Ayushman Health Temple, Balewadi ",3kW
Sangli,Yelavi,Jat,Primary Health Center,Primary Health Center Yelvi ,10kW+
Sangli,Bedag,Miraj,Health Subcenter,Ayushman araogi mandir Bedag,5kW
Sangli,Umadi,Jat,Primary Health Center,Primary Health Center ,5kW
Sangli,dhalgaon,Kavthe Mahankal,Primary Health Center,Phc Dhalgaon,7kW
Sangli,Ko Bobalad ,Jat,Primary Health Center,Ko boobalad phk ,10kW+
Sangli,Walwan ,Atpadi,Health Subcenter,Ayshman arogya mandir walwan ,10kW+
Sangli,Kauthuli ,Atpadi,Health Subcenter,Centers ,3kW
Sangli,Walsang ,Jat,Primary Health Center,Primary health center,10kW+
Sangli,Gharniki ,Atpadi,Health Subcenter,Ayushman Health Temple Gharniki,10kW
Sangli,Kavlapur,Miraj,Primary Health Center,"Ayushman Health Temple, Kavlapur",5kW
Sangli,Muchandi ,Jat,Health Subcenter,Aayushman aarogya mandir muchandi ,10kW
Sangli,Kheradewangi,Kadegaon,Primary Health Center,Ayushman Arogya Temple Kherad Wangi,10kW
Sangli,Walsang ,Jat,Primary Health Center,Primary health center ,10kW+
Sangli,Dhalewadi,Kavthe Mahankal,Health Subcenter,Health Wardini sub -station Dhalewadi ,5kW
Sangli,Zare,Atpadi,Health Subcenter,Ayushman Arogya Mandir Subcenter Zare,10kW+
Sangli,Mhaishal ,Miraj,Primary Health Center,"Ayushman Health Temple, Mhaisal ",5kW
Sangli,Daribadachi ,Jat,Health Subcenter,Aayushman Arogya Mandir Daribadachi ,10kW+
Sangli,Walsang ,Jat,Primary Health Center,Primary health center ,10kW+
Sangli,Vithurayachi wadi ,Kavthe Mahankal,Health Subcenter,Vithurayachi wadi ,10kW
Sangli,Mandur,Shirala,Health Subcenter,Ayushman Arogya kendra Vardini sub -station Mandur 1 Mirukewadi,4kW
Sangli,Shingnapur,Jat,Health Subcenter,Ayushman Arogya Mandir-Shinganapur ,3kW
Sangli,Ranjani,Kavthe Mahankal,Primary Health Center,Primary Health Center Ranjani,7kW
Sangli, Balewadi ,Atpadi,Health Subcenter,Ayushman Aurogi Mandir Balewadi,3kW
Sangli,Aasangi Turk,Jat,Health Subcenter,Ayushman Health Temple Asangi Turk,10kW+
Sangli,Bilashi,Shirala,Primary Health Center,Primary health center ,7kW
Sangli,Wangi,Kadegaon,Primary Health Center,Primary Health Center Wangi,7kW
Sangli,Khalati,Jat,Health Subcenter,"Aayushmaan Aarogya Mandir, Khala",5kW
Sangli,Yedenipani ,Walwa,Health Subcenter,Ayushman Arogya Vardini kendra,2kW
Sangli,Mohite wadgaon,Kadegaon,Primary Health Center,PHC mohite wadgaon,10kW+
Sangli,Kadnur,Jat,Health Subcenter,Kadnur,5kW
Sangli,Ankalagi ,Jat,Health Subcenter,Ayushman aryogya mandir Ankalagi ,10kW+
Sangli,Tondoli,Kadegaon,Health Subcenter,Sub center Tondoli ,3kW
Sangli,Kanthi,Jat,Health Subcenter,Ayushman arogya mandir,5kW
Sangli,Ankali,Miraj,Health Subcenter,Ayushman aryogya Center Ankali,3kW
Sangli,Bamnoli,Miraj,Health Subcenter,HWC BAMNOLI,5kW
Sangli,MIRWAD,Jat,Health Subcenter,Ayushman aryogya Center Mirvad ,3kW
Sangli,Ingrul ,Shirala,Health Subcenter,AAM Ingrul ,3kW
Sangli,Vithalapur ,Atpadi,Health Subcenter,Ayushman Arogya Mandir Vithhalapur ,5kW
Sangli,Ankale ,Jat,Health Subcenter,AAM Ankale ,3kW
Sangli,Lingiware,Atpadi,Health Subcenter,Ayuhman Arogya Mandir,5kW
Sangli,Walekhindi ,Jat,Health Subcenter,Walekhindi Subcenter ,7kW
Sangli,Vasagade,????,Other,Ayushman aryogya Mandir (Ayush) Vasagade,4kW
Sangli,Shalgaon,Kadegaon,Health Subcenter,"Ayushman aryogya Center , Shalgaon",3kW
Sangli,Sanmadi ,Jat,Health Subcenter,Health Sub -Center Sanamdi ,10kW+
Sangli,Khatav,Miraj,Health Subcenter,Ayushman Arogya Mandir Khatav,7kW
Sangli,Hwc- Vadiyeraibag,Kadegaon,Health Subcenter,Hwc- Vadiyeraibag,5kW
Sangli,Vihapur,Kadegaon,Health Subcenter,Ayushyman Arogya Mandir Vihapur,3kW
Sangli,Jirgyal,Jat,Health Subcenter,Ayushyman Arogya Mandir-Jirgayal,3kW
Sangli,Upalemayni,Kadegaon,Health Subcenter,Ayushyman Arogya Mandir upkendra Upalemayni,3kW
Sangli,Dhavali,Miraj,Health Subcenter,HWC DHAVALI,10kW+
Sangli,Bhikwadi Khurd,Kadegaon,Health Subcenter,Sub -center Bhikwadi Khurd,3kW
Sangli,Kurlap,Walwa,Primary Health Center,Primary Health Center Kurlap,10kW+
Sangli,Kameri,Walwa,Primary Health Center,Primary Health Center Kameri ,5kW
Sangli,Budhgaon ,Miraj,Health Subcenter,Ayushman Health Temple Budhgaont 1,1kW
Sangli,Tisangi ,Kavthe Mahankal,Health Subcenter,AAM Tisangi ,5kW
Sangli,Deorashtre ,Kadegaon,Primary Health Center,Primary Health Centre Deorashtre ,10kW
Sangli,Narsinhpur ,Walwa,Health Subcenter,Ayushyaman Arogya Mandir Narsinhpur ,5kW
Sangli,Budhgaon ,Miraj,Health Subcenter,Ayushman Health Temple Budhgaon 2,1kW
Sangli,Nagaj,Kavthe Mahankal,Primary Health Center,Primary Health Center Nagaj,10kW+
Sangli,Jambhulani ,Atpadi,Health Subcenter,AAM Jambhulani ,10kW
Sangli,Kognoli,Kavthe Mahankal,Health Subcenter,Kognoli,5kW
Sangli,Yedemachindrra,Walwa,Primary Health Center,Primary Health Center Yedemachindra,10kW+
Sangli,Shirate,Walwa,Health Subcenter,Subcenter Shirate,10kW
Sangli,Bhavaninagar ,Walwa,Health Subcenter,Ayush Arogya Vardini Kendra,3kW
Sangli,Peth,Walwa,Primary Health Center,Primary Health Center Peth,5kW
Sangli,Shirdhon,Kavthe Mahankal,Health Subcenter,Ayushman Health Temple Shirdhon ,5kW
Sangli,Rethareharnaksha,Walwa,Health Subcenter,Primary Health Sub-Center-Retre-Harnaksh,3kW
Sangli,Karoli T,Kavthe Mahankal,Health Subcenter,Ayushman Arogya mandir Karoli T,5kW
Sangli,Kognoli,Kavthe Mahankal,Health Subcenter,Kognoli,5kW
Sangli,Vejegaon,Khanapur,Primary Health Center,Primary Health Center vajegaon,10kW+
Sangli,Tandulwadi ,Walwa,Health Subcenter,Healthcare sub -station Tandulwadi,10kW+
Sangli,Kavthepiran ,Miraj,Primary Health Center,Primary health centre kavthepiran ,10kW+
Sangli,Kunikonur ,Jat,Health Subcenter,Ayushman Aarogy Mandir ( sub centre) KUNIKONUR ,5kW
Sangli,Billur,Jat,Primary Health Center,Primary Health Centre Billur,3kW
Sangli,Tadsar ,Kadegaon,Health Subcenter,Health wellness centre Tadsar,3kW
Sangli,Kadepur ,Kadegaon,Health Subcenter,Hwc kadepur,3kW
Sangli,Dudhebhavi ,Kavthe Mahankal,Health Subcenter,Dudhebhavi ,5kW
Sangli,Tupari ,????,Health Subcenter,HWC Tupari,2kW
Sangli,Rile,Shirala,Health Subcenter,Sub-Centre Shirle,4kW
Sangli,Inamdhamani ,Miraj,Health Subcenter,AAM Inamdhamani ,4kW
Sangli,Umrani,Jat,Health Subcenter,Ayushman Arogya Mandir - Umrani,1kW
Sangli,Agran dhulgaon ,Kavthe Mahankal,Health Subcenter,Ayushman Arogya Mandir Dhulegaon,4kW
Sangli,Yeldari,Jat,Health Subcenter,Ayushman Arogya Mandir - Yeldari,1kW
Sangli,Vajrawad,Jat,Veterinary Hospital,Veterinary Hospital Category-1 Wajrwadi,10kW+
Sangli,Mendigiri,Jat,Health Subcenter,Ayushman Arogya Mandir - Mendigiri,1kW
Sangli,Basargi,Jat,Health Subcenter,Ayushman Arogya Mandir - Basargi,1kW
Sangli,Dudhebhavi ,Kavthe Mahankal,Health Subcenter,Ayushman Arogya Mandir Dhudhebhavi,3kW
Sangli,Killemachindragad,Walwa,Health Subcenter,Subcenter Kilemachindragad,10kW
Sangli,Kuktoli,Kavthe Mahankal,Health Subcenter,Ayushman Arogya Mandir  - Kukatoli,3kW
Sangli,Raygaon,Kadegaon,Health Subcenter,"Ayushman Arogya Mandir, Sub -Center Raigaon",5kW
Sangli,Ramapur ,Kadegaon,Health Subcenter,Ayushman Arogya Mandir Ramapur ,3kW
Sangli,Dhamwadi,Shirala,Health Subcenter,Ayushman Arogya Mandir  - Dhamvade,2kW
Sangli,Billur ,Jat,Health Subcenter,Ayushman Arogya Mandir - Billur,1kW
Sangli,Rethareharnaksha,Walwa,Health Subcenter,Subcenter Rethareharnaksha,10kW
Sangli,Malangaon ,Kavthe Mahankal,Health Subcenter,AAM Malangaon ,5kW
Sangli,Banewadi,Kavthe Mahankal,Health Subcenter,AAM Banewadi,5kW
Sangli,Kanchanpur,Miraj,Health Subcenter,Ayushman Arogya Mandir Kanchanpur ,3kW
Sangli,Banewadi,Kavthe Mahankal,Health Subcenter,AAM banewadi,5kW
Sangli,Wangi,Kadegaon,Health Subcenter,"Ayushman Arogya Mandir , Wangi",3kW
Sangli,Gugwad,Jat,Health Subcenter,Ayushman Arogya Mandir - Gugwad,1kW
Sangli,Chorochi ,Kavthe Mahankal,Health Subcenter,Ayushman arogya mandir,5kW
Sangli,Killemachindragad,Walwa,Health Subcenter,"Ayushman Arogya Mandir, Killemachindra",3kW
Sangli,Kumbhari,Jat,Health Subcenter,Kumbhari Subcenter ,7kW
Sangli,Pujarwadi ,Atpadi,Health Subcenter,Ayushman Arogya Mandir Pujarwadi ,10kW
Sangli,Sonkire,Kadegaon,Health Subcenter,Ayushman Arogya Mandir Sonkire,5kW
Sangli,Bavachi,Walwa,Primary Health Center, Bavachi,10kW
Sangli,Bisur ,Miraj,Health Subcenter,Ayushman Arogya Mandir Bisur ,3kW
Sangli,Ghatnandre,Kavthe Mahankal,Health Subcenter,Ayushman Arogya Mandir Ghatanandre,3kW
Sangli,Kokale,Kavthe Mahankal,Health Subcenter,Kokale,10kW
Sangli,Chinchani,Kadegaon,Health Subcenter,Ayushman Arogya Mandir Chinchani,5kW
Sangli,Gardi,Khanapur,Health Subcenter,Ayushman Arogya Mandir Gardi,2kW
Sangli,Sagaon ,Shirala,Primary Health Center, Primary Health Center Sagaon,10kW+
Sangli,Mangle,Shirala,Primary Health Center, Primary Health Center  Mangle,10kW+
Sangli,Nerle,Walwa,Primary Health Center, Primary Health Center Nerle,10kW+
Sangli,Gotkhindi,Walwa,Health Subcenter,Gotkhindi Sub Center,5kW
Sangli,Borgaon,Walwa,Primary Health Center, Primary Health Center Borgaon,10kW+
Sangli,Thabadewadi ,Kavthe Mahankal,Health Subcenter,Ayushman Arogya Mandir Thabadewadi ,2kW
Sangli,Nagaon,Walwa,Health Subcenter,Sub center Nagaon,5kW
Sangli,Shirashi,Shirala,Other,Sub centre shirashi,5kW
Sangli,Kapuskhed,Walwa,Health Subcenter,Arogya Vardini Kendra Kapuskhed,10kW+
Sangli,Mardwadi,Walwa,Health Subcenter,Sub center Mardwadi,5kW
Sangli,Kalamwadi,Walwa,Health Subcenter,Arogya Vardini Kendra,10kW+
Sangli,Bahe,Walwa,Health Subcenter,Arogya Vardini Kendra,10kW+
Sangli,Mirajwadi,Walwa,Health Subcenter,Sub center Mirajwadi,5kW
Sangli,Banali,Jat,Health Subcenter,Banali Subcenter ,7kW
Sangli,Bavachi,Walwa,Primary Health Center,Phc Bavachi,10kW
Sangli,Bahe,Walwa,Health Subcenter,Ayushman Aarogy Mandir Bahe..,3kW
Sangli,Kavthemahankal,Kavthe Mahankal,Other,Civil Health Vardini Center Patil Gali Hingangaon Corner Kavthe Mhankal,5kW
Sangli,Agalgaon,Kavthe Mahankal,Primary Health Center, Primary Health Center Agalgaon,7kW
Sangli,Nerle,Walwa,Health Subcenter,Sub centre 1,7kW
Sangli,Kalamwadi,Walwa,Health Subcenter,Ayushman Aarogy Mandir  Kalamwadi ,3kW
Sangli,Nerle,Walwa,Health Subcenter,Sub centre 2,7kW
Sangli,Nagaj,Kavthe Mahankal,Primary Health Center, Primary Health Cente Nagaj,10kW+
Sangli,Masuchiwadi,Walwa,Health Subcenter,Ayushman Aarogy Mandir Masuchiwadi,3kW
Sangli,Dhavali ,Walwa,Health Subcenter, HWC Dhavali ,3kW
Sangli,Kapuskhed,Walwa,Health Subcenter,Ayushman Arogya Mandir Kapuskhed,3kW
Sangli,Mhaishal ,Miraj,Health Subcenter,Aayushman aarogya mandir mhaishal 2,4kW
Sangli,Nevari,Kadegaon,Health Subcenter,Hwc- Nevari ,5kW
Sangli,Jakraiwadi,Walwa,Health Subcenter,Arogya Vardini Sub Center Jakraiwadi,10kW
Sangli,Khanderajuri,Miraj,Primary Health Center,Primary health centre khanderajuri,10kW
Sangli,Navekhed ,Walwa,Health Subcenter,"Ayushman Arogya Mandir , Navekhed",3kW
Sangli,Sakhrale,Walwa,Health Subcenter,Ayushman Arogya Mandir Sakhrale,10kW+
Sangli,Kharshing ,Kavthe Mahankal,Health Subcenter,AAM - Kharshing ,5kW
Sangli,Alkuds ,Kavthe Mahankal,Health Subcenter,Arogya Vardini Mandir Alkund S,3kW
Sangli,Junekhed,Walwa,Health Subcenter,Ayushman Arogya Mandir,2kW
Sangli,Sonyal,Jat,Health Subcenter,HWC Sonyal ,10kW+
Sangli,Banewadi,Walwa,Health Subcenter,Ayushman Arogya Mandir Banewadi ,3kW
Sangli,Karve ,Walwa,Health Subcenter,Ayushman Arogya Mandir Kavre,2kW
Sangli,Bahadurwadi ,Walwa,Health Subcenter,AAM Bahadurwadi ,3kW
Sangli,Bilashi,Shirala,Health Subcenter,HWC - Bilashi,4kW
Sangli,Kavthemahankal,Kavthe Mahankal,Other,Civil Health Vardini Center Patil Gali Hingangaon Corner Kavthe Mhankal,2kW
Sangli,Malewadi,Walwa,Health Subcenter,HWC -Malewadi,4kW
Sangli,Hattegaon ,Shirala,Health Subcenter,Hwc Hattegaon ,1kW
Sangli,Narsewadi ,Tasgaon,Health Subcenter,Aayushman aarogya mandir narsewadi,2kW
Sangli,Hwc -Birnal ,Jat,Health Subcenter,Hwc -Birnal ,3kW
Sangli,Takari ,Walwa,Health Subcenter,Hwc Takari ,10kW
Sangli,Gulwanchi,Jat,Health Subcenter,Ayushman Arogya Mandir Gulvanchi ,7kW
Sangli,Vajrachounde,Tasgaon,Health Subcenter,HWC,3kW
Sangli,Itakre,Walwa,Health Subcenter,Ayushman Arogya Mandir Itkari,4kW
Sangli,Jalihal Bu,Jat,Health Subcenter,HWC Jalihal Bu,5kW
Sangli,Bevnur,Jat,Health Subcenter,Ayushman Arogya Mandir Bevnur,7kW
Sangli,Tung,Miraj,Health Subcenter,Ayushman Arogya Mandir Tung,10kW+
Sangli,Hatnoli,Tasgaon,Health Subcenter,Hatnoli,3kW
Sangli,Biur,Shirala,Health Subcenter,Arogya vardhini kendra Biur,3kW
Sangli,Aasangi Jat,Jat,Health Subcenter,"Ayushman Arogya Mandir, Asangi Jath ",5kW
Sangli,Tandulwadi ,Walwa,Health Subcenter,AAM Tandulwadi ,3kW
Sangli,Shirte,Walwa,Health Subcenter,AYUSHMAN AROGYA MANDIR SHIRTE ,3kW
Sangli,Shigaon,Walwa,Health Subcenter,Ayushman Arogya Mandir Shigaon,3kW
Sangli,Bhalwani ,Khanapur,Health Subcenter,HWC Bhalwani ,10kW+
Sangli,Bambavade ,Shirala,Health Subcenter,Ayushman Aarogya Mandir Bambavade ,3kW
Sangli,Padawalwadi,Walwa,Health Subcenter,Primary Health Center Walwa (AAM Padwalwadi),3kW
Sangli,Bhikawadi ,Kadegaon,Health Subcenter,HWC Bhikawadi ku,10kW
Sangli,Yelur,Walwa,Primary Health Center,Primary Health Center  Yelur ,10kW+
Sangli,Yogewadi ,Tasgaon,Health Subcenter,Hwc yogewadi ,10kW+
Sangli,Panchgani,Shirala,Primary Health Center,Primary Health Center  Panchgani ,5kW
Sangli,Benapur ,Khanapur,Health Subcenter,Ayushman Arogya Mandir Benapur ,3kW
Sangli,Bastawade,Tasgaon,Health Subcenter,Ayushman Aarogya mandir Bastawade,4kW
Sangli,Hivare ,Khanapur,Health Subcenter,Ayushman Arogya Mandir Hivare,3kW
Sangli,Dudhgaon ,Miraj,Health Subcenter,Dudhgaon ayushman arogya mandir,2kW
Sangli,Kandur,Shirala,Health Subcenter,Ayushman Aarogya mandir Kandur,4kW
Sangli,Kurli,Khanapur,Health Subcenter,Ayushman Aarogya mandir Kurli,3kW
Sangli,Takave,Shirala,Health Subcenter,Ayushman Aarogya mandir Takve,7kW
Sangli,Dhulgaon ,Tasgaon,Health Subcenter,Dhulgaon ,10kW
Sangli,Dhavli,Tasgaon,Health Subcenter,Ayushman Aarogya mandir.Dhawli,3kW
Sangli,Jaygavhan,Kavthe Mahankal,Health Subcenter,Sub Center Jaigavhan,3kW
Sangli,Manjarde,Tasgaon,Primary Health Center,Manjarde,5kW
Sangli,Tambave ,Walwa,Health Subcenter,Ayushman Arogya Mandir Tambave ,3kW
Sangli,Peth,Walwa,Health Subcenter,Subcenter peth,10kW+
Sangli,Mallewadi ,Miraj,Health Subcenter,Health and wellness center-Mallewadi ,3kW
Sangli,Mallewadi ,Miraj,Health Subcenter,Health and wellness center-Mallewadi ,3kW
Sangli,Tujarpur,Walwa,Health Subcenter,AAM Tujarpur,3kW
Sangli,Hingangaon ,Kavthe Mahankal,Health Subcenter,Subcenter Hingangaon,2kW
Sangli,Kalambi,Miraj,Health Subcenter,Ayushman Arogya Mandir Kalambi,3kW
Sangli,Malgaon (Subhashnagar),Miraj,Health Subcenter,Ayushman Arogya Mandir Malgaon 2 ,3kW
Sangli,Chinchani Wangi,Kadegaon,Other,Rural Hospital ChinchaniWangi,10kW+
Sangli,Yedenipani ,Walwa,Health Subcenter,Yedenipani ,3kW
Sangli,Hwc karve,Khanapur,Health Subcenter,Ayushman Arogya Mandir Karve,3kW
Sangli,Bhagkhambe,Walwa,Health Subcenter,Ayushman Arogya Mandir Bhadkhambe,3kW
Sangli,Ladegaon,Walwa,Health Subcenter,Ayushman Arogya Mandir Ladegaon,3kW
Sangli,Gundewadi,Miraj,Health Subcenter,Hwc Gundewadi,7kW
Sangli,Dongarwadi,Miraj,Primary Health Center,Hwc dongarwadi,7kW
Sangli,Salgare,Miraj,Health Subcenter,Hwc salgare,7kW
Sangli,Takari ,Walwa,Health Subcenter,Ayushman Arogya Mandir Takari,2kW
Sangli,Sonsal,Kadegaon,Health Subcenter,Ayushman Arogya Mandir Sonsal,3kW
Sangli,Santoshwadi,Miraj,Health Subcenter,Hwc santoshwadi,7kW
Sangli,Vakurde Budruk,Shirala,Health Subcenter,"Ayushman Arogya Mandir , Wakurde Budruk",10kW
Sangli,Kasbe Digraj,Miraj,Health Subcenter,Ayushman Arogya Mandir Kasbe Digraj ,3kW
Sangli,Gundewadi,Miraj,Health Subcenter,Hwc Gundewadi,5kW
Sangli,Basargi ,Jat,Health Subcenter,Ayushman Arogya mandir Basargi,3kW
Sangli,Samdoli ,Miraj,Health Subcenter,Ayushman Arogya Mandir Samdoli ,3kW
Sangli,Dongarwadi,Miraj,Health Subcenter,Hwc dongarwadi,5kW
Sangli,Bavachi,Walwa,Primary Health Center,Arogya vardhini kendra Bavachi,10kW
